description,measure,unit_price,normalized_description
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 3,,5837.7812,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 3
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 31/4,1/4,5383.3284,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 31/4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 31/2,1/2,5503.8746,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 31/2
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 4,,6654.9362,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 41/2,1/2,8166.174,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 41/2
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 5,,11925.0623,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 5
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 6,,996.7915,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 6
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 476,,25.4,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 476
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3/8,3/8,0.7278,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3/8
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1/2,1/2,5.3031,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 5/8,5/8,4.5619,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 5/8
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3/4,3/4,27.2332,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 7/8,7/8,33.3468,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 7/8
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1,,114.3626,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 11/4,1/4,127.5483,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 11/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 11/2,1/2,1080.058,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 11/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 13/4,3/4,1254.9152,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 13/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 2,,2982.4041,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 21/4,1/4,3405.4827,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 21/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 21/2,1/2,3831.0532,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 21/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 23/4,3/4,4289.0373,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 23/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3,,6736.2952,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 31/4,1/4,6288.8402,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 31/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 31/2,1/2,6450.6026,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 31/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 4,,7808.0651,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 41/2,1/2,9452.942,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 41/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 5,,11747.6251,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 5
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 6,,3239.7647,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 6
BULON HEXAGONAL - UNC - WHIT - GRADO 5 PULG,,25.4,BULON HEXAGONAL - UNC - WHIT - GRADO 5 PULG
BULON HEXAGONAL - UNC - WHIT - GRADO 5 3/8,3/8,0.8756,BULON HEXAGONAL - UNC - WHIT - GRADO 5 3/8
BULON HEXAGONAL - UNC - WHIT - GRADO 5 1/2,1/2,6.3239,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 5/8,5/8,4.8195,BULON HEXAGONAL - UNC - WHIT - GRADO 5 5/8
BULON HEXAGONAL - UNC - WHIT - GRADO 5 3/4,3/4,47.3439,BULON HEXAGONAL - UNC - WHIT - GRADO 5 3/4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 7/8,7/8,53.0535,BULON HEXAGONAL - UNC - WHIT - GRADO 5 7/8
BULON HEXAGONAL - UNC - WHIT - GRADO 5 1,,58.3546,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1
BULON HEXAGONAL - UNC - WHIT - GRADO 5 11/4,1/4,170.2553,BULON HEXAGONAL - UNC - WHIT - GRADO 5 11/4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 11/2,1/2,360.9906,BULON HEXAGONAL - UNC - WHIT - GRADO 5 11/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 13/4,3/4,646.7304,BULON HEXAGONAL - UNC - WHIT - GRADO 5 13/4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 2,,798.0936,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 21/4,1/4,930.7878,BULON HEXAGONAL - UNC - WHIT - GRADO 5 21/4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 21/2,1/2,4632.3482,BULON HEXAGONAL - UNC - WHIT - GRADO 5 21/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 3,,5711.2858,BULON HEXAGONAL - UNC - WHIT - GRADO 5 3
BULON HEXAGONAL - UNC - WHIT - GRADO 5 31/2,1/2,7686.3678,BULON HEXAGONAL - UNC - WHIT - GRADO 5 31/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 4,,8517.1398,BULON HEXAGONAL - UNC - WHIT - GRADO 5 4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 41/2,1/2,8499.3525,BULON HEXAGONAL - UNC - WHIT - GRADO 5 41/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 5,,12725.937,BULON HEXAGONAL - UNC - WHIT - GRADO 5 5
BULON HEXAGONAL - UNC - WHIT - GRADO 5 5 1/2,1/2,15734.6477,BULON HEXAGONAL - UNC - WHIT - GRADO 5 5 1/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 6,,16922.462,BULON HEXAGONAL - UNC - WHIT - GRADO 5 6
BULON HEXAGONAL - MILIMETRICO 88 M A 100,,3.0,BULON HEXAGONAL - MILIMETRICO 88 M A 100
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 1270,,25.4,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 1270
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 11/4,1/4,31.75,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 11/4
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 11/2,1/2,38.1,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 11/2
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 13/4,3/4,44.45,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 13/4
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 2,,50.8,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 2
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 21/4,1/4,57.15,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 21/4
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 21/2,1/2,63.5,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 21/2
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 23/4,3/4,69.85,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 23/4
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 3,,76.2,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 3
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 31/2,1/2,88.9,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 31/2
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 4,,101.6,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 4
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 41/2,1/2,114.3,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 41/2
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 5,,127.0,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 5
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO LLAVE,,41.28,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO LLAVE
TIRAFONDOS ZINCADO AZUL 476,,9.52,TIRAFONDOS ZINCADO AZUL 476
TIRAFONDOS ZINCADO AZUL 11/4,1/4,7.6019,TIRAFONDOS ZINCADO AZUL 11/4
TIRAFONDOS ZINCADO AZUL 11/2,1/2,41.926,TIRAFONDOS ZINCADO AZUL 11/2
TIRAFONDOS ZINCADO AZUL 13/4,3/4,47.8206,TIRAFONDOS ZINCADO AZUL 13/4
TIRAFONDOS ZINCADO AZUL 2,,46.6019,TIRAFONDOS ZINCADO AZUL 2
TIRAFONDOS ZINCADO AZUL 21/4,1/4,17.5459,TIRAFONDOS ZINCADO AZUL 21/4
TIRAFONDOS ZINCADO AZUL 23/8,3/8,8.7745,TIRAFONDOS ZINCADO AZUL 23/8
TIRAFONDOS ZINCADO AZUL 21/2,1/2,60.0585,TIRAFONDOS ZINCADO AZUL 21/2
TIRAFONDOS ZINCADO AZUL 23/4,3/4,21.9546,TIRAFONDOS ZINCADO AZUL 23/4
TIRAFONDOS ZINCADO AZUL 3,,65.4391,TIRAFONDOS ZINCADO AZUL 3
TIRAFONDOS ZINCADO AZUL 31/8,1/8,25.8857,TIRAFONDOS ZINCADO AZUL 31/8
TIRAFONDOS ZINCADO AZUL 31/2,1/2,80.434,TIRAFONDOS ZINCADO AZUL 31/2
TIRAFONDOS ZINCADO AZUL 4,,89.6474,TIRAFONDOS ZINCADO AZUL 4
TIRAFONDOS ZINCADO AZUL 5,,104.1124,TIRAFONDOS ZINCADO AZUL 5
TORNILLOS DRYWALL - ROSCA GRUESA 16,,0.0691,TORNILLOS DRYWALL - ROSCA GRUESA 16
TORNILLOS DRYWALL - ROSCA GRUESA 19,,0.0864,TORNILLOS DRYWALL - ROSCA GRUESA 19
TORNILLOS DRYWALL - ROSCA GRUESA 25,,0.469,TORNILLOS DRYWALL - ROSCA GRUESA 25
TORNILLOS DRYWALL - ROSCA GRUESA 32,,0.432,TORNILLOS DRYWALL - ROSCA GRUESA 32
TORNILLOS DRYWALL - ROSCA GRUESA 38,,1.3948,TORNILLOS DRYWALL - ROSCA GRUESA 38
TORNILLOS DRYWALL - ROSCA GRUESA 42,,0.5554,TORNILLOS DRYWALL - ROSCA GRUESA 42
TORNILLOS DRYWALL - ROSCA GRUESA 45,,1.8974,TORNILLOS DRYWALL - ROSCA GRUESA 45
TORNILLOS DRYWALL - ROSCA GRUESA 50,,2.1598,TORNILLOS DRYWALL - ROSCA GRUESA 50
TORNILLOS DRYWALL - ROSCA GRUESA 55,,2.7152,TORNILLOS DRYWALL - ROSCA GRUESA 55
TORNILLOS DRYWALL - ROSCA GRUESA 65,,1.5735,TORNILLOS DRYWALL - ROSCA GRUESA 65
TORNILLOS DRYWALL - ROSCA GRUESA 75,,3.1319,TORNILLOS DRYWALL - ROSCA GRUESA 75
TORNILLOS DRYWALL - ROSCA GRUESA 100,,6.1554,TORNILLOS DRYWALL - ROSCA GRUESA 100
TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 25,,0.2059,TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 25
TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 32,,0.2534,TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 32
TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 35,,0.2692,TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 35
TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 38,,0.2745,TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 38
TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 42,,0.3011,TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 42
TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 45,,0.3062,TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 45
TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 50,,0.3115,TORNILLOS DRYWALL - ROSCA FINA - PUNTA AGUJA 50
"TORNILLOS PAN FRAMING - PUNTA MECHA 7/16""",7/16,0.2093,"TORNILLOS PAN FRAMING - PUNTA MECHA 7/16"""
"TORNILLOS CABEZA TANQUE - PUNTA AGUJA 1/2""",1/2,0.2575,"TORNILLOS CABEZA TANQUE - PUNTA AGUJA 1/2"""
"TORNILLOS CABEZA TANQUE - PUNTA AGUJA 3/4""",3/4,0.3219,"TORNILLOS CABEZA TANQUE - PUNTA AGUJA 3/4"""
"TORNILLOS CABEZA TANQUE - PUNTA MECHA 1/2""",1/2,0.2288,"TORNILLOS CABEZA TANQUE - PUNTA MECHA 1/2"""
"TORNILLOS CABEZA TANQUE - PUNTA MECHA 3/4""",3/4,0.6467,"TORNILLOS CABEZA TANQUE - PUNTA MECHA 3/4"""
"TORNILLOS CABEZA TANQUE - PUNTA MECHA 1""",,0.8061,"TORNILLOS CABEZA TANQUE - PUNTA MECHA 1"""
"TORNILLOS CABEZA TANQUE - PUNTA MECHA 1 1/4""",1/4,0.9519,"TORNILLOS CABEZA TANQUE - PUNTA MECHA 1 1/4"""
"TORNILLOS CABEZA HEXAGONAL SIMPLE - ARANDELA FIJA - PUNTA MECHA 1/2""",1/2,0.4008,"TORNILLOS CABEZA HEXAGONAL SIMPLE - ARANDELA FIJA - PUNTA MECHA 1/2"""
"TORNILLOS CABEZA HEXAGONAL SIMPLE - ARANDELA FIJA - PUNTA MECHA 3/4""",3/4,0.7261,"TORNILLOS CABEZA HEXAGONAL SIMPLE - ARANDELA FIJA - PUNTA MECHA 3/4"""
"TORNILLOS CABEZA HEXAGONAL SIMPLE - ARANDELA FIJA - PUNTA MECHA 1""",,0.6326,"TORNILLOS CABEZA HEXAGONAL SIMPLE - ARANDELA FIJA - PUNTA MECHA 1"""
"PRODUCTO NO IDENTIFICADO 3/4""",3/4,4.376,"PRODUCTO NO IDENTIFICADO 3/4"""
"PRODUCTO NO IDENTIFICADO 1""",,4.9984,"PRODUCTO NO IDENTIFICADO 1"""
"PRODUCTO NO IDENTIFICADO 1 1/2""",1/2,6.8971,"PRODUCTO NO IDENTIFICADO 1 1/2"""
"PRODUCTO NO IDENTIFICADO 2""",,16.4487,"PRODUCTO NO IDENTIFICADO 2"""
"PRODUCTO NO IDENTIFICADO 2 1/2""",1/2,20.8501,"PRODUCTO NO IDENTIFICADO 2 1/2"""
TORNILLOS FIX 12,,0.0785,TORNILLOS FIX 12
TORNILLOS FIX 16,,0.1344,TORNILLOS FIX 16
TORNILLOS FIX 20,,0.3137,TORNILLOS FIX 20
TORNILLOS FIX 25,,0.3857,TORNILLOS FIX 25
TORNILLOS FIX 30,,0.43,TORNILLOS FIX 30
TORNILLOS FIX 35,,0.9867,TORNILLOS FIX 35
TORNILLOS FIX 40,,1.3395,TORNILLOS FIX 40
TORNILLOS FIX 45,,1.118,TORNILLOS FIX 45
TORNILLOS FIX 50,,1.8823,TORNILLOS FIX 50
TORNILLOS FIX 60,,2.849,TORNILLOS FIX 60
ARANDELAS GROWER - PULIDAS 3/16,3/16,50.0,ARANDELAS GROWER - PULIDAS 3/16
ARANDELAS GROWER - PULIDAS 1/4,1/4,20.0,ARANDELAS GROWER - PULIDAS 1/4
ARANDELAS GROWER - PULIDAS 5/16,5/16,20.0,ARANDELAS GROWER - PULIDAS 5/16
ARANDELAS GROWER - PULIDAS 3/8,3/8,12.0,ARANDELAS GROWER - PULIDAS 3/8
ARANDELAS GROWER - PULIDAS 7/16,7/16,7.0,ARANDELAS GROWER - PULIDAS 7/16
ARANDELAS GROWER - PULIDAS 1/2,1/2,5.0,ARANDELAS GROWER - PULIDAS 1/2
ARANDELAS GROWER - PULIDAS 5/8,5/8,3.2,ARANDELAS GROWER - PULIDAS 5/8
ARANDELAS GROWER - PULIDAS 3/4,3/4,2.0,ARANDELAS GROWER - PULIDAS 3/4
ARANDELAS GROWER - PULIDAS 7/8,7/8,0.004,ARANDELAS GROWER - PULIDAS 7/8
ARANDELAS GROWER - PULIDAS 1,,0.004,ARANDELAS GROWER - PULIDAS 1
ARANDELAS GROWER - PULIDAS 1 1/8,1/8,0.0033,ARANDELAS GROWER - PULIDAS 1 1/8
ARANDELAS GROWER - PULIDAS 1 1/4,1/4,53.2085,ARANDELAS GROWER - PULIDAS 1 1/4
ARANDELAS GROWER - PULIDAS 1 1/2,1/2,1044.3661,ARANDELAS GROWER - PULIDAS 1 1/2
ARANDELAS PLANAS 1/8,1/8,2.837,ARANDELAS PLANAS 1/8
ARANDELAS PLANAS 5/32,5/32,1.507,ARANDELAS PLANAS 5/32
ARANDELAS PLANAS 3/16,3/16,1.019,ARANDELAS PLANAS 3/16
ARANDELAS PLANAS 1/4,1/4,0.0188,ARANDELAS PLANAS 1/4
ARANDELAS PLANAS 5/16,5/16,0.0228,ARANDELAS PLANAS 5/16
ARANDELAS PLANAS 3/8,3/8,0.0274,ARANDELAS PLANAS 3/8
ARANDELAS PLANAS 7/16,7/16,0.0453,ARANDELAS PLANAS 7/16
ARANDELAS PLANAS 1/2,1/2,0.0673,ARANDELAS PLANAS 1/2
ARANDELAS PLANAS 9/16,9/16,0.0861,ARANDELAS PLANAS 9/16
ARANDELAS PLANAS 5/8,5/8,0.1283,ARANDELAS PLANAS 5/8
ARANDELAS PLANAS 3/4,3/4,0.1744,ARANDELAS PLANAS 3/4
ARANDELAS PLANAS 7/8,7/8,0.2267,ARANDELAS PLANAS 7/8
ARANDELAS PLANAS 1,,0.272,ARANDELAS PLANAS 1
ARANDELAS PLANAS 1 1/8,1/8,0.3778,ARANDELAS PLANAS 1 1/8
ARANDELAS PLANAS 1 1/4,1/4,0.3579,ARANDELAS PLANAS 1 1/4
ARANDELAS PLANAS 1 3/8,3/8,0.6066,ARANDELAS PLANAS 1 3/8
ARANDELAS PLANAS 1 1/2,1/2,0.6673,ARANDELAS PLANAS 1 1/2
ARANDELAS PLANAS 1 3/4,3/4,0.6066,ARANDELAS PLANAS 1 3/4
ARANDELAS PLANAS 2,,0.9533,ARANDELAS PLANAS 2
ARANDELAS PLANAS 5/16,5/16,0.0213,ARANDELAS PLANAS 5/16
ARANDELAS PLANAS 3/8,3/8,0.0255,ARANDELAS PLANAS 3/8
ARANDELAS PLANAS 7/16,7/16,0.0442,ARANDELAS PLANAS 7/16
ARANDELAS PLANAS 1/2,1/2,0.0636,ARANDELAS PLANAS 1/2
