codigo,descripcion,precio_unitario,proveedor
1040000000D0012,Bulon G2 Hex UNC 1/4 1/2,34.32133899432,fleb
1040000000D0016,Bulon G2 Hex UNC 1/4 5/8,36.297194330880004,fleb
1040000000D0019,Bulon G2 Hex UNC 1/4 3/4,37.175352258240004,fleb
1040000000D0022,Bulon G2 Hex UNC 1/4 7/8,41.93204103144,fleb
1040000000D0025,Bulon G2 Hex UNC 1/4 1,44.932413949920004,fleb
1040000000D0032,Bulon G2 Hex UNC 1/4 1 1/4,52.689475641600005,fleb
1040000000D0038,Bulon G2 Hex UNC 1/4 1 1/2,61.617414569759994,fleb
1040000000D0044,Bulon G2 Hex UNC 1/4 1 3/4,70.22819664212211,fleb
1040000000D0050,Bulon G2 Hex UNC 1/4 2,79.10739328968,fleb
1040000000D0056,Bulon G2 Hex UNC 1/4 2 1/4,91.03570513631999,fleb
1040000000D0063,Bulon G2 Hex UNC 1/4 2 1/2,98.35368786432,fleb
1040000000D0070,Bulon G2 Hex UNC 1/4 2 3/4,107.11900495408,fleb
1040000000D0076,Bulon G2 Hex UNC 1/4 3,116.13638589336,fleb
1040000000D0082,Bulon G2 Hex UNC 1/4 3 1/4,124.84478533968,fleb
1040000000D0090,Bulon G2 Hex UNC 1/4 3 1/2,133.91908392240003,fleb
1040000000D0100,Bulon G2 Hex UNC 1/4 4,154.33625573352003,fleb
1040000000D0110,Bulon G2 Hex UNC 1/4 4 1/2,175.99748460840004,fleb
1040000000D0125,Bulon G2 Hex UNC 1/4 5,190.56027023712,fleb
1040000000D0140,Bulon G2 Hex UNC 1/4 5 1/2,208.67304417705887,fleb
1040000000D0155,Bulon G2 Hex UNC 1/4 6,181.42865449359812,fleb
1040000000E0012,Bulon G2 Hex UNC 5/16 1/2,54.07989235992,fleb
1040000000E0016,Bulon G2 Hex UNC 5/16 5/8,57.958423205760006,fleb
1040000000E0019,Bulon G2 Hex UNC 5/16 3/4,58.98294078768,fleb
1040000000E0022,Bulon G2 Hex UNC 5/16 7/8,65.34958576104,fleb
1040000000E0025,Bulon G2 Hex UNC 5/16 1,69.22811660688,fleb
1040000000E0032,Bulon G2 Hex UNC 5/16 1 1/4,82.40048551728002,fleb
1040000000E0038,Bulon G2 Hex UNC 5/16 1 1/2,93.81653857296001,fleb
1040000000E0044,Bulon G2 Hex UNC 5/16 1 3/4,109.0379426472,fleb
1040000000E0050,Bulon G2 Hex UNC 5/16 2,119.79537725736002,fleb
1040000000E0056,Bulon G2 Hex UNC 5/16 2 1/4,132.55308203819243,fleb
1040000000E0063,Bulon G2 Hex UNC 5/16 2 1/2,151.26270298776,fleb
1040000000E0070,Bulon G2 Hex UNC 5/16 2 3/4,161.43469897967998,fleb
1040000000E0076,Bulon G2 Hex UNC 5/16 3,174.60706789008003,fleb
1040000000E0082,Bulon G2 Hex UNC 5/16 3 1/4,202.38173953593122,fleb
1040000000E0090,Bulon G2 Hex UNC 5/16 3 1/2,200.80544605632,fleb
1040000000E0100,Bulon G2 Hex UNC 5/16 4,227.2233637044,fleb
1040000000E0110,Bulon G2 Hex UNC 5/16 4 1/2,253.5681015252,fleb
1040000000E0125,Bulon G2 Hex UNC 5/16 5,279.76647969144,fleb
1040000000E0140,Bulon G2 Hex UNC 5/16 5 1/2,306.18497555746535,fleb
1040000000E0155,Bulon G2 Hex UNC 5/16 6,332.3338949350619,fleb
1040000000E0175,Bulon G2 Hex UNC 5/16 7,422.37200911197607,fleb
1040000000E0200,Bulon G2 Hex UNC 5/16 8,453.93446861784,fleb
1040000000F0012,Bulon G2 Hex UNC 3/8 1/2,82.18094603544002,fleb
1040000000F0016,Bulon G2 Hex UNC 3/8 5/8,94.95273026819461,fleb
1040000000F0019,Bulon G2 Hex UNC 3/8 3/4,100.52897850000001,fleb
1040000000F0022,Bulon G2 Hex UNC 3/8 7/8,109.27062880434782,fleb
1040000000F0025,Bulon G2 Hex UNC 3/8 1,102.01267922832001,fleb
1040000000F0032,Bulon G2 Hex UNC 3/8 1 1/4,118.91721933000001,fleb
1040000000F0038,Bulon G2 Hex UNC 3/8 1 1/2,135.38268046800002,fleb
1040000000F0044,Bulon G2 Hex UNC 3/8 1 3/4,154.11671625168,fleb
1040000000F0050,Bulon G2 Hex UNC 3/8 2,172.55803272624,fleb
1040000000F0056,Bulon G2 Hex UNC 3/8 2 1/4,194.95105987392003,fleb
1040000000F0063,Bulon G2 Hex UNC 3/8 2 1/2,213.75827548488004,fleb
1040000000F0070,Bulon G2 Hex UNC 3/8 2 3/4,232.84768757409478,fleb
1040000000F0076,Bulon G2 Hex UNC 3/8 3,251.88496549776005,fleb
1040000000F0082,Bulon G2 Hex UNC 3/8 3 1/4,270.7008586824173,fleb
1040000000F0090,Bulon G2 Hex UNC 3/8 3 1/2,289.7863205373417,fleb
1040000000F0100,Bulon G2 Hex UNC 3/8 4,327.69926655984005,fleb
1040000000F0110,Bulon G2 Hex UNC 3/8 4 1/2,365.53323726360003,fleb
1040000000F0125,Bulon G2 Hex UNC 3/8 5,411.70970827728,fleb
1040000000F0140,Bulon G2 Hex UNC 3/8 5 1/2,360.5265558746636,fleb
1040000000F0155,Bulon G2 Hex UNC 3/8 6,489.0565615426268,fleb
1040000000F0175,Bulon G2 Hex UNC 3/8 7,557.931568859991,fleb
1040000000F0200,Bulon G2 Hex UNC 3/8 8,643.32386161848,fleb
1040000000G0022,Bulon G2 Hex UNC 7/16 7/8,107.59007430328407,fleb
1040000000G0025,Bulon G2 Hex UNC 7/16 1,144.74969835984,fleb
1040000000G0032,Bulon G2 Hex UNC 7/16 1 1/4,165.27390932130984,fleb
1040000000G0038,Bulon G2 Hex UNC 7/16 1 1/2,191.21888868264,fleb
1040000000G0044,Bulon G2 Hex UNC 7/16 1 3/4,234.10812185490246,fleb
1040000000G0050,Bulon G2 Hex UNC 7/16 2,261.99196763414636,fleb
1040000000G0056,Bulon G2 Hex UNC 7/16 2 1/4,231.9006507307123,fleb
1040000000G0063,Bulon G2 Hex UNC 7/16 2 1/2,317.75965919263433,fleb
1040000000G0070,Bulon G2 Hex UNC 7/16 2 3/4,276.51480397750265,fleb
1040000000G0076,Bulon G2 Hex UNC 7/16 3,346.65284182536,fleb
1040000000G0082,Bulon G2 Hex UNC 7/16 3 1/4,373.60873932344396,fleb
1040000000G0090,Bulon G2 Hex UNC 7/16 3 1/2,398.40816502168127,fleb
1040000000G0100,Bulon G2 Hex UNC 7/16 4,450.16348821800256,fleb
1040000000G0110,Bulon G2 Hex UNC 7/16 4 1/2,502.9970473142472,fleb
1040000000G0125,Bulon G2 Hex UNC 7/16 5,553.8897817906295,fleb
1040000000G0140,Bulon G2 Hex UNC 7/16 5 1/2,484.6023428615544,fleb
1040000000G0155,Bulon G2 Hex UNC 7/16 6,671.49809512128,fleb
1040000000H0019,Bulon G2 Hex UNC 1/2 3/4,201.67567746933923,fleb
1040000000H0022,Bulon G2 Hex UNC 1/2 7/8,219.57068858937316,fleb
1040000000H0025,Bulon G2 Hex UNC 1/2 1,229.5611549201896,fleb
1040000000H0032,Bulon G2 Hex UNC 1/2 1 1/4,257.44663237104004,fleb
1040000000H0038,Bulon G2 Hex UNC 1/2 1 1/2,294.47562497472006,fleb
1040000000H0044,Bulon G2 Hex UNC 1/2 1 3/4,329.60194206912007,fleb
1040000000H0050,Bulon G2 Hex UNC 1/2 2,357.33709660824,fleb
1040000000H0056,Bulon G2 Hex UNC 1/2 2 1/4,422.6567809344774,fleb
1040000000H0063,Bulon G2 Hex UNC 1/2 2 1/2,434.76135387048004,fleb
1040000000H0070,Bulon G2 Hex UNC 1/2 2 3/4,469.43694697005833,fleb
1040000000H0076,Bulon G2 Hex UNC 1/2 3,566.4394679368659,fleb
1040000000H0082,Bulon G2 Hex UNC 1/2 3 1/4,580.5384970053314,fleb
1040000000H0090,Bulon G2 Hex UNC 1/2 3 1/2,619.2620359791343,fleb
1040000000H0100,Bulon G2 Hex UNC 1/2 4,645.66561609144,fleb
1040000000H0110,Bulon G2 Hex UNC 1/2 4 1/2,715.77189062568,fleb
1040000000H0125,Bulon G2 Hex UNC 1/2 5,785.8357013760401,fleb
1040000000H0140,Bulon G2 Hex UNC 1/2 5 1/2,684.7196097011204,fleb
1040000000H0155,Bulon G2 Hex UNC 1/2 6,925.724815092,fleb
1040000000H0175,Bulon G2 Hex UNC 1/2 7,1035.2763897593645,fleb
1040000000H0200,Bulon G2 Hex UNC 1/2 8,915.6382250970511,fleb
1040000000H0225,Bulon G2 Hex UNC 1/2 9,1051.0675067625684,fleb
1040000000H0250,Bulon G2 Hex UNC 1/2 10,1453.1413986056752,fleb
1040000000H0275,Bulon G2 Hex UNC 1/2 11,1625.0617214084755,fleb
1040000000H0300,Bulon G2 Hex UNC 1/2 12,1793.1715546576272,fleb
1040000000J0025,Bulon G2 Hex UNC 5/8 1,378.5592465194399,fleb
1040000000J0032,Bulon G2 Hex UNC 5/8 1 1/4,422.5777635565841,fleb
1040000000J0038,Bulon G2 Hex UNC 5/8 1 1/2,466.59457873727996,fleb
1040000000J0044,Bulon G2 Hex UNC 5/8 1 3/4,544.6233013728529,fleb
1040000000J0050,Bulon G2 Hex UNC 5/8 2,557.92300318272,fleb
1040000000J0056,Bulon G2 Hex UNC 5/8 2 1/4,623.2725889437602,fleb
1040000000J0063,Bulon G2 Hex UNC 5/8 2 1/2,674.5716478670402,fleb
1040000000J0070,Bulon G2 Hex UNC 5/8 2 3/4,731.0664745272001,fleb
1040000000J0076,Bulon G2 Hex UNC 5/8 3,784.4877484415999,fleb
1040000000J0082,Bulon G2 Hex UNC 5/8 3 1/4,838.1218242238425,fleb
1040000000J0090,Bulon G2 Hex UNC 5/8 3 1/2,892.030946548558,fleb
1040000000J0100,Bulon G2 Hex UNC 5/8 4,1000.2950590903198,fleb
1040000000J0110,Bulon G2 Hex UNC 5/8 4 1/2,1107.3571464009601,fleb
1040000000J0125,Bulon G2 Hex UNC 5/8 5,1214.627212743825,fleb
1040000000J0140,Bulon G2 Hex UNC 5/8 5 1/2,1322.43265877688,fleb
1040000000J0155,Bulon G2 Hex UNC 5/8 6,1430.73880315128,fleb
1040000000J0175,Bulon G2 Hex UNC 5/8 7,1316.7861551126823,fleb
1040000000J0200,Bulon G2 Hex UNC 5/8 8,1862.13388496688,fleb
1040000000J0225,Bulon G2 Hex UNC 5/8 9,2077.7030072904636,fleb
1040000000J0250,Bulon G2 Hex UNC 5/8 10,2292.831518224526,fleb
1040000000J0275,Bulon G2 Hex UNC 5/8 11,2500.469635536716,fleb
1040000000J0300,Bulon G2 Hex UNC 5/8 12,2766.34383083856,fleb
1040000000K0025,Bulon G2 Hex UNC 3/4 1,488.66561464492816,fleb
1040000000K0032,Bulon G2 Hex UNC 3/4 1 1/4,675.8258669627215,fleb
1040000000K0038,Bulon G2 Hex UNC 3/4 1 1/2,740.43349241904,fleb
1040000000K0044,Bulon G2 Hex UNC 3/4 1 3/4,805.393456809707,fleb
1040000000K0050,Bulon G2 Hex UNC 3/4 2,858.7652731308001,fleb
1040000000K0056,Bulon G2 Hex UNC 3/4 2 1/4,934.7765119954846,fleb
1040000000K0063,Bulon G2 Hex UNC 3/4 2 1/2,1010.8329542186401,fleb
1040000000K0070,Bulon G2 Hex UNC 3/4 2 3/4,1109.0402824284001,fleb
1040000000K0076,Bulon G2 Hex UNC 3/4 3,1187.4158774452799,fleb
1040000000K0082,Bulon G2 Hex UNC 3/4 3 1/4,1267.7880230674457,fleb
1040000000K0090,Bulon G2 Hex UNC 3/4 3 1/2,1342.70347093344,fleb
1040000000K0100,Bulon G2 Hex UNC 3/4 4,1492.2830378937601,fleb
1040000000K0110,Bulon G2 Hex UNC 3/4 4 1/2,1652.5468596369599,fleb
1040000000K0125,Bulon G2 Hex UNC 3/4 5,1446.1435368221178,fleb
1040000000K0140,Bulon G2 Hex UNC 3/4 5 1/2,1923.45858022752,fleb
1040000000K0155,Bulon G2 Hex UNC 3/4 6,1664.1158503092029,fleb
1040000000K0175,Bulon G2 Hex UNC 3/4 7,2384.8725205405267,fleb
1040000000K0200,Bulon G2 Hex UNC 3/4 8,2902.75102888848,fleb
1040000000K0225,Bulon G2 Hex UNC 3/4 9,3232.0365865448334,fleb
1040000000K0250,Bulon G2 Hex UNC 3/4 10,3677.4326804745597,fleb
1040000000K0275,Bulon G2 Hex UNC 3/4 11,4124.910160842773,fleb
1040000000K0300,Bulon G2 Hex UNC 3/4 12,4377.824360485688,fleb
1010000000C0019,Bulon Cab. Redonda 3/16 3/4,30.517348874999996,fleb
1010000000D0019,Bulon Cab. Redonda 1/4 3/4,41.93204103144,fleb
1010000000D0025,Bulon Cab. Redonda 1/4 1,48.518225486640006,fleb
1010000000D0032,Bulon Cab. Redonda 1/4 1 1/4,55.397129250960006,fleb
1010000000D0038,Bulon Cab. Redonda 1/4 1 1/2,62.27603301528,fleb
1010000000D0044,Bulon Cab. Redonda 1/4 1 3/4,69.1024443265703,fleb
1010000000D0050,Bulon Cab. Redonda 1/4 2,75.98873643883684,fleb
1010000000D0056,Bulon Cab. Redonda 1/4 2 1/4,82.87502855110338,fleb
1010000000D0063,Bulon Cab. Redonda 1/4 2 1/2,89.76132066336991,fleb
1010000000D0070,Bulon Cab. Redonda 1/4 2 3/4,96.58773197466022,fleb
1010000000D0076,Bulon Cab. Redonda 1/4 3,103.62263542848001,fleb
1010000000D0082,Bulon Cab. Redonda 1/4 3 1/4,109.33066195632,fleb
1010000000D0090,Bulon Cab. Redonda 1/4 3 1/2,116.72270235031328,fleb
1010000000D0100,Bulon Cab. Redonda 1/4 4,130.37413178760735,fleb
1010000000D0110,Bulon Cab. Redonda 1/4 4 1/2,137.2296531207463,fleb
1010000000D0125,Bulon Cab. Redonda 1/4 5,157.70252778840003,fleb
1010000000D0140,Bulon Cab. Redonda 1/4 5 1/2,172.41167307168,fleb
1010000000D0155,Bulon Cab. Redonda 1/4 6,186.09630077303999,fleb
1010000000E0025,Bulon Cab. Redonda 5/16 1,77.71697657135998,fleb
1010000000E0032,Bulon Cab. Redonda 5/16 1 1/4,90.81616565448002,fleb
1010000000E0038,Bulon Cab. Redonda 5/16 1 1/2,102.21247252789652,fleb
1010000000E0044,Bulon Cab. Redonda 5/16 1 3/4,111.37969712016,fleb
1010000000E0050,Bulon Cab. Redonda 5/16 2,129.96737324928003,fleb
1010000000E0056,Bulon Cab. Redonda 5/16 2 1/4,136.55355770448,fleb
1010000000E0063,Bulon Cab. Redonda 5/16 2 1/2,156.75119003376003,fleb
1010000000E0070,Bulon Cab. Redonda 5/16 2 3/4,156.16575141552,fleb
1010000000E0076,Bulon Cab. Redonda 5/16 3,167.43544481663997,fleb
1010000000E0082,Bulon Cab. Redonda 5/16 3 1/4,178.5587785632,fleb
1010000000E0090,Bulon Cab. Redonda 5/16 3 1/2,189.82847196432002,fleb
1010000000E0100,Bulon Cab. Redonda 5/16 4,212.14831928471997,fleb
1010000000E0110,Bulon Cab. Redonda 5/16 4 1/2,233.29728936863998,fleb
1010000000E0125,Bulon Cab. Redonda 5/16 5,235.05360522335997,fleb
1010000000E0140,Bulon Cab. Redonda 5/16 5 1/2,279.32740072776005,fleb
1010000000E0155,Bulon Cab. Redonda 5/16 6,326.30884984151993,fleb
1010000000E0175,Bulon Cab. Redonda 5/16 7,346.57966199808004,fleb
1010000000E0200,Bulon Cab. Redonda 5/16 8,389.3166811296001,fleb
1010000000E0225,Bulon Cab. Redonda 5/16 9,437.1587250121728,fleb
1010000000E0250,Bulon Cab. Redonda 5/16 10,620.41857567984,fleb
1010000000F0025,Bulon Cab. Redonda 3/8 1,122.42985103944,fleb
1010000000F0032,Bulon Cab. Redonda 3/8 1 1/4,140.94434734128004,fleb
1010000000F0038,Bulon Cab. Redonda 3/8 1 1/2,157.04390934287997,fleb
1010000000F0044,Bulon Cab. Redonda 3/8 1 3/4,179.61029452800003,fleb
1010000000F0050,Bulon Cab. Redonda 3/8 2,185.21814284567998,fleb
1010000000F0056,Bulon Cab. Redonda 3/8 2 1/4,200.95180571088,fleb
1010000000F0063,Bulon Cab. Redonda 3/8 2 1/2,210.9067914776632,fleb
1010000000F0070,Bulon Cab. Redonda 3/8 2 3/4,232.3794642653177,fleb
1010000000F0076,Bulon Cab. Redonda 3/8 3,248.00643465192002,fleb
1010000000F0082,Bulon Cab. Redonda 3/8 3 1/4,263.8132773444,fleb
1010000000F0090,Bulon Cab. Redonda 3/8 3 1/2,278.01016383672004,fleb
1010000000F0100,Bulon Cab. Redonda 3/8 4,310.8679062854399,fleb
1010000000F0110,Bulon Cab. Redonda 3/8 4 1/2,349.21413578016006,fleb
1010000000F0125,Bulon Cab. Redonda 3/8 5,373.65619809168004,fleb
1010000000F0140,Bulon Cab. Redonda 3/8 5 1/2,401.0254534944,fleb
1010000000F0155,Bulon Cab. Redonda 3/8 6,445.29924899879995,fleb
1010000000F0175,Bulon Cab. Redonda 3/8 7,496.6714877493601,fleb
1010000000F0200,Bulon Cab. Redonda 3/8 8,559.0938804192001,fleb
1010000000F0225,Bulon Cab. Redonda 3/8 9,624.8825451439201,fleb
1010000000F0250,Bulon Cab. Redonda 3/8 10,687.5976571228799,fleb
1010000000G0038,Bulon Cab. Redonda 7/16 1 1/2,209.51384550263995,fleb
1010000000G0050,Bulon Cab. Redonda 7/16 2,252.5741496611937,fleb
1010000000G0056,Bulon Cab. Redonda 7/16 2 1/4,296.90774238357534,fleb
1010000000G0063,Bulon Cab. Redonda 7/16 2 1/2,307.7157676878103,fleb
1010000000G0070,Bulon Cab. Redonda 7/16 2 3/4,317.6565582986849,fleb
1010000000G0076,Bulon Cab. Redonda 7/16 3,270.90950498031964,fleb
1010000000G0090,Bulon Cab. Redonda 7/16 3 1/2,383.3177344651891,fleb
1010000000G0100,Bulon Cab. Redonda 7/16 4,425.2783803186184,fleb
1010000000G0110,Bulon Cab. Redonda 7/16 4 1/2,469.90135680550657,fleb
1010000000G0125,Bulon Cab. Redonda 7/16 5,511.91987941183726,fleb
1010000000G0140,Bulon Cab. Redonda 7/16 5 1/2,554.8494504369598,fleb
1010000000G0155,Bulon Cab. Redonda 7/16 6,598.53780732312,fleb
1010000000G0175,Bulon Cab. Redonda 7/16 7,682.5715431801274,fleb
1010000000G0250,Bulon Cab. Redonda 7/16 10,934.3255039087651,fleb
1010000000G0275,Bulon Cab. Redonda 7/16 11,1018.1856163445806,fleb
1010000000H0038,Bulon Cab. Redonda 1/2 1 1/2,306.6234763032,fleb
1010000000H0050,Bulon Cab. Redonda 1/2 2,426.49203338783997,fleb
1010000000H0063,Bulon Cab. Redonda 1/2 2 1/2,437.02992851616006,fleb
1010000000H0070,Bulon Cab. Redonda 1/2 2 3/4,467.7490528934138,fleb
1010000000H0076,Bulon Cab. Redonda 1/2 3,498.4681772706679,fleb
1010000000H0090,Bulon Cab. Redonda 1/2 3 1/2,559.9064260251755,fleb
1010000000H0100,Bulon Cab. Redonda 1/2 4,606.3680488420799,fleb
1010000000H0110,Bulon Cab. Redonda 1/2 4 1/2,666.2291475571202,fleb
1010000000H0125,Bulon Cab. Redonda 1/2 5,785.4390861962399,fleb
1010000000H0140,Bulon Cab. Redonda 1/2 5 1/2,786.1708844690402,fleb
1010000000H0155,Bulon Cab. Redonda 1/2 6,846.1229698068096,fleb
1010000000H0175,Bulon Cab. Redonda 1/2 7,1049.32554336792,fleb
1010000000H0200,Bulon Cab. Redonda 1/2 8,1179.5687878624453,fleb
1020000000C0019,Bulon Cab. Redonda con Tuerca 3/16 3/4,49.053980990519996,fleb
1020000000D0019,Bulon Cab. Redonda con Tuerca 1/4 3/4,67.54498057944001,fleb
1020000000D0025,Bulon Cab. Redonda con Tuerca 1/4 1,74.13116503463999,fleb
1020000000D0032,Bulon Cab. Redonda con Tuerca 1/4 1 1/4,81.01006879896,fleb
1020000000D0038,Bulon Cab. Redonda con Tuerca 1/4 1 1/2,87.88897256328,fleb
1020000000D0044,Bulon Cab. Redonda con Tuerca 1/4 1 3/4,94.7153838745703,fleb
1020000000D0050,Bulon Cab. Redonda con Tuerca 1/4 2,101.60167598683684,fleb
1020000000D0056,Bulon Cab. Redonda con Tuerca 1/4 2 1/4,108.4879680991034,fleb
1020000000D0063,Bulon Cab. Redonda con Tuerca 1/4 2 1/2,115.37426021136993,fleb
1020000000D0070,Bulon Cab. Redonda con Tuerca 1/4 2 3/4,122.20067152266023,fleb
1020000000D0076,Bulon Cab. Redonda con Tuerca 1/4 3,129.23557497648,fleb
1020000000D0082,Bulon Cab. Redonda con Tuerca 1/4 3 1/4,134.94360150432,fleb
1020000000D0090,Bulon Cab. Redonda con Tuerca 1/4 3 1/2,142.3356418983133,fleb
1020000000D0100,Bulon Cab. Redonda con Tuerca 1/4 4,155.98707133560734,fleb
1020000000D0110,Bulon Cab. Redonda con Tuerca 1/4 4 1/2,162.84259266874628,fleb
1020000000D0125,Bulon Cab. Redonda con Tuerca 1/4 5,183.3154673364,fleb
1020000000D0140,Bulon Cab. Redonda con Tuerca 1/4 5 1/2,198.02461261968,fleb
1020000000D0155,Bulon Cab. Redonda con Tuerca 1/4 6,211.70924032103997,fleb
1020000000E0025,Bulon Cab. Redonda con Tuerca 5/16 1,115.6241271024,fleb
1020000000E0032,Bulon Cab. Redonda con Tuerca 5/16 1 1/4,128.72331618552002,fleb
1020000000E0038,Bulon Cab. Redonda con Tuerca 5/16 1 1/2,140.11962305893655,fleb
1020000000E0044,Bulon Cab. Redonda con Tuerca 5/16 1 3/4,149.2868476512,fleb
1020000000E0050,Bulon Cab. Redonda con Tuerca 5/16 2,167.87452378032,fleb
1020000000E0056,Bulon Cab. Redonda con Tuerca 5/16 2 1/4,174.46070823552,fleb
1020000000E0063,Bulon Cab. Redonda con Tuerca 5/16 2 1/2,194.65834056480006,fleb
1020000000E0070,Bulon Cab. Redonda con Tuerca 5/16 2 3/4,194.07290194656002,fleb
1020000000E0076,Bulon Cab. Redonda con Tuerca 5/16 3,205.34259534768,fleb
1020000000E0082,Bulon Cab. Redonda con Tuerca 5/16 3 1/4,216.46592909424,fleb
1020000000E0090,Bulon Cab. Redonda con Tuerca 5/16 3 1/2,227.73562249536005,fleb
1020000000E0100,Bulon Cab. Redonda con Tuerca 5/16 4,250.05546981575998,fleb
1020000000E0110,Bulon Cab. Redonda con Tuerca 5/16 4 1/2,271.20443989968,fleb
1020000000E0125,Bulon Cab. Redonda con Tuerca 5/16 5,272.9607557544,fleb
